,gene_name,DNase,H3K4me1,H3K4me3,H3K27ac,H3K27me3,H3K36me3,gene_exp
74,MRO,15.674327040295212,3.02093,6.53104359313078,0.0001,0.0001,0.0001,0.0
75,TUT1,224.89313366940132,3.72188,20.651519154557462,13.76348,0.0001,11.750788294517896,0.480535524165267
76,NHLRC3,68.39087674211723,3.4344,0.0001,26.07858,0.0001,0.0001,9.80292469297144
77,TYSND1,144.99461302757734,4.06403,12.723480845442536,17.39904,0.0001,0.0001,26.813882248421898
78,QRICH1,141.69982867121345,4.78172,14.356638044914137,23.83608,0.0001,10.7513968025668,10.5717815316359
79,AP3S1,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0
80,BSX,0.0001,0.0001,7.47612285336856,0.0001,57.698522622345344,0.0001,0.0
81,CHD6,0.0001,0.0001,0.0001,0.0001,0.0001,10.455786358355924,0.480535524165267
82,B3GALT4,75.80414154393594,5.39428,0.0001,19.56892,0.0001,0.0001,0.0
83,RNF216,0.0001,0.0001,0.0001,0.0001,0.0001,9.499958510814848,0.0
84,LRFN2,0.0001,0.0001,0.0001,0.0001,44.58596491228071,0.0001,0.0
85,CCDC28A,109.57568119666568,4.01603,14.884808454425364,35.11089,0.0001,0.0001,90.052357228571
86,PRPSAP1,0.0001,5.92687,11.424702774108322,0.0001,46.404893813481074,8.241785141339824,0.0
87,OR5T1,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0
88,PPP1R2B,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0
89,ADH7,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0
90,PTPN18,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0
91,MET,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0
92,KCNIP2,38.73781753484234,5.8537,5.883503963011889,0.0001,0.0001,0.0001,0.0
93,ENDOD1,35.443033178478466,0.0001,16.03178665785997,19.06739,0.0001,5.171405653592965,92.74335616389652
94,TAAR5,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0
95,EPM2AIP1,353.3897235675925,0.0001,18.760964332893,23.95914,0.0001,0.0001,1.05717815316359
96,MAMDC4,156.5263582748509,4.3546,0.0001,16.06676,0.0001,5.7340404934447085,0.0
97,CDK7,145.8183091166683,0.0001,6.502163143989431,17.89814,0.0001,7.803161475908614,88.80296486574129
98,IFNA7,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0
99,CYLC2,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0
100,SMG6,44.50369015847913,5.14004,12.66856010568032,62.76703,0.0001,11.828082646456824,0.0
101,GJB6,0.0001,0.0001,0.0001,0.0001,62.71117266851339,0.0001,0.0
102,RGPD4,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0
103,OST4,107.10459292939277,8.65305,14.466380449141347,27.96633,0.0001,0.0001,55.646013698337896
104,TRA2A,83.21740634575467,0.0001,0.0001,47.77743,0.0001,8.680408806771036,115.52074000933
105,SNTB1,30.500856643932654,5.80724,8.044121532364597,7.36769,34.28467220683287,6.038737069203961,9.41849627363922
106,OR5V1,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0
107,ARHGDIA,46.15108233666106,0.0001,13.337549537648613,25.66747,0.0001,10.221884162195057,0.0
108,GATA5,0.0001,0.0001,0.0001,0.0001,44.87322253000924,0.0001,0.0
109,ITPRIPL2,0.0001,3.09719,12.01172391017173,8.20684,0.0001,0.0001,0.480535524165267
110,UNCX,0.0001,0.0001,0.0001,0.0001,53.79224376731303,0.0001,0.0
111,RBM18,107.10459292939277,0.0001,17.888226552179656,29.80213,0.0001,6.697626818609282,31.2348090707423
112,MCPH1,55.21173931666172,3.49144,16.662384412153237,33.37423,0.0001,9.094374066493334,84.3820380434208
113,CDCA3,225.7168297584923,4.05462,14.392338177014532,16.20532,0.0001,0.0001,119.220863545403
114,SMC1B,15.674327040295212,0.0001,0.0001,0.0001,0.0001,0.0001,0.0
115,FOXP2,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0
116,WDFY4,50.26956278211591,7.42667,9.799818361955086,29.88569,0.0001,12.029913702494882,11.3406383703003
117,PTTG1IP2,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0
118,NDUFS1,128.52069124575794,0.0001,0.0001,27.47421,0.0001,6.487290479614981,64.5839744478118
119,USP13,17.321719218477153,0.0001,18.598695508586527,12.07495,0.0001,9.55766996736184,2.59489183049244
120,DNAL4,150.7604856512141,4.13766,17.99142998678996,0.0001,39.65032317636196,0.0001,24.891740151760803
121,SPATA2,131.81547560212184,6.00684,17.00743064729194,62.25041,0.0001,9.789926425844998,0.0
122,AADACL2,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0
123,OR3A3,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0
124,KRT1,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0
125,ZNF502,0.0001,0.0001,6.298001981505943,0.0001,0.0001,0.0001,2.1143563063271698
126,DMAC1,49.44586669302494,0.0001,10.77681638044914,16.79449,0.0001,0.0001,0.0
127,PTCH1,0.0001,0.0001,5.347523117569352,0.0001,34.319575253924285,6.072122033523262,0.0
128,SEPTIN8,18.14541530756812,3.75027,9.18764861294584,6.90984,0.0001,9.82502627648393,9.03406785430701
129,SUDS3,23.911287931204903,0.0001,0.0001,0.0001,0.0001,7.3595037893455775,0.0
130,SPATA2L,158.17375045303285,7.53823,13.716132760898285,6.8526,0.0001,5.610029319024174,10.5717815316359
131,SLC15A2,0.0001,0.0001,0.0001,0.0001,0.0001,6.511561652929137,0.0
132,ADO,0.0001,3.49732,15.042156538969618,36.90512,0.0001,0.0001,9.03406785430701
133,FEZF2,0.0001,0.0001,0.0001,0.0001,55.712834718374886,0.0001,0.0
134,ISM1,0.0001,0.0001,0.0001,0.0001,45.29713758079409,0.0001,0.0
135,GFRA4,0.0001,6.23698,0.0001,0.0001,62.23785780240074,0.0001,0.0
136,HTRA1,0.0001,0.0001,0.0001,0.0001,34.06038781163435,0.0001,0.0
137,CASP2,112.87046555302956,3.03573,12.21152575957728,23.39229,0.0001,10.819770979697958,0.0
138,CACNA2D4,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0
139,SRRM3,25.55868010938684,0.0001,0.0001,0.0001,0.0001,0.0001,0.0
140,FLI1,0.0001,3.97659,0.0001,0.0001,0.0001,8.765876528184986,0.0
141,GRHL1,34.6193370893875,3.44602,10.307711360634082,0.0001,0.0001,0.0001,1.05717815316359
142,CALM2,142.52352476030444,0.0001,18.37772457067371,55.41857,0.0001,4.823850749571279,540.698571790758
143,GRB7,0.0001,5.24114,6.313936591809775,0.0001,0.0001,0.0001,0.0
144,RNF217,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0
145,ATP7B,136.75765213666764,4.52723,18.070260898282694,10.57261,40.70757156048015,0.0001,0.0
146,ST8SIA3,0.0001,0.0001,0.0001,0.0001,31.43693444136657,0.0001,0.0
147,INS,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0
148,TMEM200A,0.0001,0.0001,6.313936591809775,0.0001,0.0001,0.0001,0.0
149,SLC25A20,63.448700207571406,5.0883,11.806456406869222,11.75734,0.0001,6.40155999336173,47.47690978752829
150,RAG1,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0
151,OR13A1,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0
152,FAM126B,0.0001,0.0001,0.0001,0.0001,0.0001,7.364537810477403,0.0
153,PLEKHO2,82.3937102566637,0.0001,5.15589498018494,3.68384,0.0001,9.42287160480168,125.90030733129998
154,ARL16,165.58701525485156,5.54742,19.00133751651255,12.40399,0.0001,0.0001,0.480535524165267
155,ARFGAP1,0.0001,0.0001,0.0001,0.0001,0.0001,9.0828124135642,0.480535524165267
156,SH3BP4,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0
157,RNASET2,64.27239629666238,8.30392,11.67100396301189,23.62261,0.0001,10.894907894008965,261.939914222487
158,USP19,134.28656386939474,4.60752,20.646647952443857,15.22915,0.0001,9.727803285943464,17.2992788699496
159,THRA,0.0001,0.0001,0.0001,0.0001,0.0001,6.794863638878132,0.0
160,DOCK10,0.0001,0.0001,0.0001,0.0001,0.0001,10.7513968025668,0.480535524165267
161,OVOL2,0.0001,0.0001,0.0001,0.0001,50.81920590951063,9.55766996736184,0.0
162,FAXC,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0
163,STAC3,45.3273862475701,0.0001,5.462136723910171,0.0001,0.0001,0.0001,0.0
164,DPYSL3,14.850630951204243,0.0001,7.821218626155878,0.0001,38.76315789473685,0.0001,0.0
165,RBX1,168.05810352212447,0.0001,18.53579920739762,49.03925,0.0001,7.414241854289982,2279.37220532553
166,ACACA,0.0001,0.0001,0.0001,0.0001,0.0001,13.22748520219063,0.0
167,PPP4R2,60.153915851207536,0.0001,8.546730515191546,19.42667,0.0001,9.119032472202246,1.05717815316359
168,KCNK9,23.911287931204903,0.0001,6.030003302509907,0.0001,37.93139427516159,0.0001,0.0
169,SMDT1,130.1680834239399,5.36552,12.29831571994716,22.0047,0.0001,6.087901753609559,94.1849627363923
170,FADS2,77.45153372211789,4.16917,0.0001,0.0001,0.0001,9.360236764949937,0.0
171,ANTXRL,16.498023129386183,3.75612,5.905861955085865,0.0001,0.0001,0.0001,0.0
172,HPX,14.850630951204243,4.02701,0.0001,0.0001,0.0001,0.0001,0.0
173,CHRM2,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0
174,MTERF2,65.91978847484431,0.0001,13.46656208718626,6.28084,0.0001,0.0001,61.316332883488
175,DAP,63.448700207571406,4.60252,16.847391017173052,15.83682,0.0001,8.437365160148255,25.18006146626
176,TMEM129,111.22307337484762,5.21776,12.419996697490092,14.18043,0.0001,5.1523621176080105,0.0
177,ARRDC1,0.0001,0.0001,0.0001,3.84927,0.0001,7.0495795762571225,0.0
178,SHC4,102.98611248393792,3.66407,10.5110964332893,19.13495,0.0001,0.0001,0.0
179,PRAME,20.616503574841023,0.0001,0.0001,0.0001,0.0001,0.0001,6.63139023348068
180,PIP5KL1,0.0001,5.21776,6.313936591809775,0.0001,39.65032317636196,0.0001,0.0
181,TBC1D20,40.38520971302428,4.69987,10.378203434610304,6.13271,0.0001,8.47695967251203,52.5705863436802
182,ADCY5,0.0001,0.0001,0.0001,0.0001,56.43416435826408,0.0001,0.0
183,CCDC110,13.203238773022306,4.02019,11.82774108322325,16.09711,27.448291782086795,0.0001,0.0
184,CADM1,7.437366149385523,3.14617,0.0001,0.0001,53.76749769159741,0.0001,0.0
185,GTF2A1L,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0
186,KARS1,0.0001,5.64088,3.441050198150594,0.0001,0.0001,10.219616086740055,4.03649840298824
187,URM1,100.515024216665,0.0001,13.6553500660502,20.11165,0.0001,8.452494883000497,120.998844984814
188,BMP6,9.90845441665843,3.6004,7.02717965653897,0.0001,58.992428439519855,5.540825358189966,0.0
189,MMRN2,68.39087674211723,4.7338,16.9483322324967,8.74122,0.0001,0.0001,0.0
190,AMN1,171.35288787848836,3.20858,11.72866578599736,31.15828,0.0001,0.0001,4.03649840298824
191,PACSIN3,0.0001,6.08192,8.382975561426685,0.0001,0.0001,0.0001,0.0
192,IFNW1,0.0001,6.70214,0.0001,6.13271,0.0001,0.0001,0.0
193,BOLA2B,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0
194,TMEM135,92.27806332575533,0.0001,15.2443857331572,7.36769,0.0001,8.680408806771036,6.24696181414847
195,ITGB5,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.480535524165267
196,UCHL1,0.0001,3.67257,9.87303500660502,0.0001,32.41745152354571,0.0001,2.59489183049244
197,RUNDC1,41.20890580211525,3.12429,15.991611624834876,17.56771,0.0001,6.794863638878132,30.177630917578696
198,TPPP,0.0001,0.0001,0.0001,0.0001,0.0001,7.803161475908614,0.0
199,NAGLU,76.62783763302691,6.54708,9.21178996036988,6.43092,0.0001,4.495353211262931,0.0
200,ENDOU,0.0001,6.48695,0.0001,0.0001,0.0001,0.0001,0.0
201,HPSE,15.674327040295212,4.65228,14.00932959048877,0.0001,0.0001,0.0001,0.0
202,GPX3,13.203238773022306,0.0001,0.0001,0.0001,0.0001,7.959437406649333,0.0
203,MCCC1,177.11876050212513,3.36872,16.653137384412155,24.30798,0.0001,9.996293632793051,651.413956558435
204,MCC,0.0001,0.0001,6.778120871862616,0.0001,33.38079409048938,7.78037008353156,0.0
205,DNAAF1,0.0001,7.63246,0.0001,0.0001,0.0001,5.409539746639377,0.0
206,SRPRA,151.5841817403051,0.0001,16.33046565389696,17.41922,0.0001,10.736875587763455,0.0
207,ANAPC7,65.91978847484431,3.88647,13.652410832232498,44.28653,0.0001,9.71581291143442,213.26166562454495
208,HCN4,0.0001,0.0001,0.0001,0.0001,36.458356417359184,0.0001,0.0
209,SH2D3C,0.0001,0.0001,0.0001,0.0001,0.0001,7.785680699231068,0.0
210,BMT2,158.9974465421238,3.97659,18.554194187582564,9.9931,0.0001,5.328525197765117,0.480535524165267
211,DNAI1,80.74631807848176,3.02093,9.255746367239102,0.0001,39.909602954755314,0.0001,0.0
212,C9orf131,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0
213,SLX1B,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0
214,CLTCL1,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0
215,MED11,132.6391716912128,6.4321,10.726354029062088,13.15302,0.0001,0.0001,111.09981318701
216,ASPRV1,0.0001,4.8415,0.0001,0.0001,0.0001,0.0001,0.0
217,STK31,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0
218,CRYZL1,43.67999406938816,0.0001,0.0001,0.0001,0.0001,5.171405653592965,0.0
219,CPSF7,93.92545550393726,0.0001,17.503186922060767,43.96333,0.0001,8.665680146041932,277.94174717719
220,PKDCC,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0
221,ADAD1,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0
222,ATP2A2,0.0001,0.0001,0.0001,0.0001,0.0001,13.891077059246555,0.0
223,SMIM28,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0
224,P2RY12,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0
225,PALB2,24.734984020295872,0.0001,11.35028071334214,15.9965,0.0001,6.925914145046191,0.0
226,CAPZA2,50.26956278211591,0.0001,24.906852708058125,24.09713,0.0001,6.137854732533054,142.238515152919
227,CSNK1A1L,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0
228,SRGN,70.86196500939013,6.01863,3.441050198150594,7.35364,0.0001,7.83907728052221,176.933179997651
229,BPI,0.0001,0.0001,0.0001,0.0001,40.190120036934445,0.0001,0.0
230,IQCH,5.789973971203585,0.0001,0.0001,0.0001,0.0001,0.0001,0.0
231,OR5A2,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0
232,UIMC1,84.8647985239366,4.47545,13.652410832232498,14.67917,0.0001,10.873540963655474,2.1143563063271698
233,NLRP1,82.3937102566637,12.8981,13.652410832232498,8.72015,0.0001,7.252351053825302,41.6143763927121
234,DYNC2LI1,35.443033178478466,0.0001,13.432909511228535,4.37973,0.0001,0.0001,47.90939175927711
235,NUS1,102.98611248393792,0.0001,14.28117569352708,16.28014,0.0001,5.1523621176080105,0.0
236,MTNR1A,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0
237,DAXX,166.41071134394252,3.97659,15.742519815059444,16.20532,0.0001,7.425927974774575,95.2421408895558
238,ONECUT2,7.437366149385523,0.0001,0.0001,0.0001,33.41385041551247,0.0001,0.0
239,CLCN1,0.0001,4.06623,0.0001,0.0001,0.0001,0.0001,0.0
240,SS18L2,224.89313366940132,6.42807,15.61137714663144,11.62686,0.0001,0.0001,0.0
241,TMEM192,21.440199663931995,4.25982,16.440835535006606,4.37973,0.0001,0.0001,0.0
242,L3MBTL2,140.05243649303154,0.0001,14.356638044914137,24.30368,0.0001,8.566313547601926,81.5949320032623
243,IL20RA,0.0001,0.0001,11.913969616908853,0.0001,47.17211449676824,0.0001,0.0
244,CCDC171,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0
245,IL9,0.0001,0.0001,0.0001,0.0001,28.592151431209604,0.0001,0.0
246,EDIL3,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0
247,UBE2V2,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0
248,MMP24OS,103.80980857302887,5.75954,18.12465323645971,18.12629,0.0001,4.702854455938486,24.411204627595502
249,IRF7,78.27522981120885,5.60515,14.180581241743727,64.95179,0.0001,6.487290479614981,69.4854367942975
250,CIAO1,130.99177951303088,5.00489,16.056902245706738,14.51108,0.0001,6.794863638878132,121.671594718645
251,ITPR2,14.026934862113276,10.19156,0.0001,25.22367,0.0001,9.55766996736184,0.0
252,ZFP90,46.15108233666106,0.0001,21.362301849405547,12.19131,0.0001,0.0001,0.0
253,DTX3L,85.68849461302757,0.0001,6.171334214002642,18.34342,0.0001,0.0001,9.80292469297144
254,TMEM80,91.45436723666435,6.13456,11.029260237780711,31.16162,0.0001,0.0001,1.05717815316359
255,CBLN1,0.0001,0.0001,0.0001,0.0001,49.69630655586335,0.0001,0.0
256,TBC1D3,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0
257,UNC93B1,84.04110243484563,5.8869,7.284891017173051,15.66313,0.0001,0.0001,20.7591346439395
258,SH2D7,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0
259,MEIG1,60.153915851207536,3.66407,9.63259577278732,27.56733,0.0001,0.0001,0.0
260,ALG2,101.33872030575598,0.0001,16.575247688243063,47.66473,0.0001,0.0001,85.1508948820852
261,TMEM126A,27.20607228756878,3.49144,11.93799537648613,19.938,0.0001,0.0001,292.165598692482
262,VSTM4,0.0001,0.0001,0.0001,0.0001,33.45909510618652,0.0001,0.0
263,PDE5A,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0
264,ARHGEF25,32.1482488221146,6.39203,9.153252972258915,0.0001,0.0001,0.0001,0.480535524165267
265,C9orf43,97.22023986030112,4.86807,14.532694848084544,40.47694,0.0001,0.0001,0.0
266,TRH,0.0001,0.0001,0.0001,0.0001,42.13647276084949,0.0001,0.0
267,MRAP,0.0001,0.0001,0.0001,0.0001,0.0001,6.629363279305194,0.0
268,SMIM31,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0
269,ZNF510,89.80697505848242,0.0001,13.124240422721268,13.77753,0.0001,5.1523621176080105,29.697095393413505
270,CARS1,0.0001,0.0001,0.0001,3.70492,0.0001,10.367843115561213,0.0
271,CILP,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0
272,CMC2,36.26672926756944,0.0001,6.259131439894319,15.4936,0.0001,7.4518587154948275,1.05717815316359
273,SLIT3,14.850630951204243,0.0001,0.0001,0.0001,0.0001,0.0001,0.0
274,TRIM38,88.98327896939145,5.75886,20.22937582562748,49.51364,0.0001,9.55766996736184,630.847036124162
275,DNAJC5,77.45153372211789,5.77182,14.545310435931308,17.39904,0.0001,8.437365160148255,0.480535524165267
276,ABCA3,67.56718065302626,3.86289,16.9483322324967,4.62061,0.0001,0.0001,0.480535524165267
277,CCDC43,90.63067114757338,0.0001,14.52197820343461,10.40594,0.0001,9.996293632793051,43.7287326990393
278,RAD52,118.63633817666631,3.13591,14.15673712021136,18.34194,0.0001,10.334250705316148,38.250627723555205
279,F2,0.0001,4.00934,0.0001,4.23552,0.0001,0.0001,0.0
280,DLEC1,0.0001,0.0001,0.0001,0.0001,0.0001,9.119032472202246,0.0
281,ZNF786,56.85913149484366,4.00934,18.186773447820343,28.31266,0.0001,8.680408806771036,31.523130385241497
282,TRIM77,4.966277882112616,0.0001,0.0001,0.0001,0.0001,0.0001,0.0
283,LSG1,47.798474514843,4.2313,14.899438573315722,31.64275,0.0001,9.996293632793051,4.03649840298824
284,STAT2,243.01444762940267,5.29474,13.21931968295905,23.1784,0.0001,7.677836477291586,138.874766483762
285,CERKL,0.0001,0.0001,7.426139365918098,0.0001,41.90018467220684,0.0001,0.0
286,NT5M,73.33305327666304,4.53673,15.276981505944518,5.48828,0.0001,0.0001,1.63382078216191
287,CENPM,115.34155382030244,5.88763,16.03178665785997,24.77665,0.0001,8.935581125186701,24.411204627595502
